customerID,actual_churn_label,predicted_probability,risk_score_0_100,risk_band,Contract,InternetService,PaymentMethod,tenure,MonthlyCharges,top_risk_driver_1,top_risk_driver_2,risk_driver_summary_short
4910-GMJOT,Yes,0.954,95,Critical,Month-to-month,Fiber optic,Electronic check,1,94.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8149-RSOUN,Yes,0.9539,95,Critical,Month-to-month,Fiber optic,Electronic check,1,93.85,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5178-LMXOP,Yes,0.9537,95,Critical,Month-to-month,Fiber optic,Electronic check,1,95.1,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9497-QCMMS,Yes,0.9536,95,Critical,Month-to-month,Fiber optic,Electronic check,1,93.55,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9300-AGZNL,Yes,0.9536,95,Critical,Month-to-month,Fiber optic,Electronic check,1,94.0,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
0295-PPHDO,Yes,0.9535,95,Critical,Month-to-month,Fiber optic,Electronic check,1,95.45,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
9282-IZGQK,Yes,0.9531,95,Critical,Month-to-month,Fiber optic,Electronic check,1,85.0,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
8603-IJWDN,Yes,0.9531,95,Critical,Month-to-month,Fiber optic,Electronic check,1,86.6,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
1069-XAIEM,Yes,0.9531,95,Critical,Month-to-month,Fiber optic,Electronic check,1,85.05,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
5192-EBGOV,Yes,0.9529,95,Critical,Month-to-month,Fiber optic,Electronic check,1,85.7,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
3068-OMWZA,Yes,0.9527,95,Critical,Month-to-month,Fiber optic,Electronic check,1,88.8,Month-to-month contract,Short tenure,Associated with month-to-month contract and short tenure.
