model_name,threshold,precision,recall,f1,specificity,false_positive_rate,flagged_case_count,tp,fp,fn,tn
Logistic Regression,0.1,0.3446,0.984,0.5104,0.3224,0.6776,1068,368,700,6,333
Logistic Regression,0.15,0.3684,0.9733,0.5345,0.3959,0.6041,988,364,624,10,409
Logistic Regression,0.2,0.3864,0.9599,0.551,0.4482,0.5518,929,359,570,15,463
Logistic Regression,0.25,0.3982,0.9358,0.5587,0.4879,0.5121,879,350,529,24,504
Logistic Regression,0.3,0.4148,0.9305,0.5738,0.5247,0.4753,839,348,491,26,542
Logistic Regression,0.35,0.4282,0.9011,0.5805,0.5644,0.4356,787,337,450,37,583
Logistic Regression,0.4,0.4521,0.8717,0.5954,0.6176,0.3824,721,326,395,48,638
Logistic Regression,0.45,0.4698,0.8316,0.6004,0.6602,0.3398,662,311,351,63,682
Logistic Regression,0.5,0.4901,0.7968,0.6069,0.6999,0.3001,608,298,310,76,723
Logistic Regression,0.55,0.5162,0.7647,0.6164,0.7406,0.2594,554,286,268,88,765
Logistic Regression,0.6,0.5425,0.7166,0.6175,0.7812,0.2188,494,268,226,106,807
Logistic Regression,0.65,0.5747,0.6791,0.6225,0.818,0.182,442,254,188,120,845
Logistic Regression,0.7,0.6111,0.6176,0.6144,0.8577,0.1423,378,231,147,143,886
Logistic Regression,0.75,0.6494,0.5348,0.5865,0.8955,0.1045,308,200,108,174,925
Logistic Regression,0.8,0.6854,0.3904,0.4974,0.9351,0.0649,213,146,67,228,966
Logistic Regression,0.85,0.7364,0.2166,0.3347,0.9719,0.0281,110,81,29,293,1004
Logistic Regression,0.9,0.7826,0.0481,0.0907,0.9952,0.0048,23,18,5,356,1028
Random Forest,0.1,0.3537,0.9733,0.5189,0.3562,0.6438,1029,364,665,10,368
Random Forest,0.15,0.3654,0.9652,0.5301,0.393,0.607,988,361,627,13,406
Random Forest,0.2,0.3813,0.9572,0.5453,0.4376,0.5624,939,358,581,16,452
Random Forest,0.25,0.4037,0.9358,0.5641,0.4995,0.5005,867,350,517,24,516
Random Forest,0.3,0.428,0.9064,0.5815,0.5615,0.4385,792,339,453,35,580
Random Forest,0.35,0.4545,0.869,0.5969,0.6225,0.3775,715,325,390,49,643
Random Forest,0.4,0.4717,0.8476,0.6061,0.6563,0.3437,672,317,355,57,678
Random Forest,0.45,0.4887,0.8128,0.6104,0.6922,0.3078,622,304,318,70,715
Random Forest,0.5,0.5105,0.7807,0.6173,0.7289,0.2711,572,292,280,82,753
Random Forest,0.55,0.539,0.7567,0.6296,0.7657,0.2343,525,283,242,91,791
Random Forest,0.6,0.5736,0.7193,0.6382,0.8064,0.1936,469,269,200,105,833
Random Forest,0.65,0.5953,0.6096,0.6024,0.85,0.15,383,228,155,146,878
Random Forest,0.7,0.6254,0.5401,0.5796,0.8829,0.1171,323,202,121,172,912
Random Forest,0.75,0.6506,0.4332,0.5201,0.9158,0.0842,249,162,87,212,946
Random Forest,0.8,0.7289,0.3235,0.4481,0.9564,0.0436,166,121,45,253,988
Random Forest,0.85,0.7297,0.2166,0.334,0.971,0.029,111,81,30,293,1003
Random Forest,0.9,0.8868,0.1257,0.2201,0.9942,0.0058,53,47,6,327,1027
